Funding ID,Organization Name,Funding Type,Money Raised,Announced Date,Lead Investors,Number of Investors,Investor Names,Company ID
002109,virtualQ,Series A,,2018-06-20,,3.0,"['CNB Capital', 'coparion', 'HTGF | High-Tech Gruenderfonds']",000000
002110,Visualix,Seed,,2018-02-15,,1.0,['Future Energy Ventures'],001093
002111,Volders,Series A,5000000.0,2018-04-10,Reimann Investors,1.0,['Reimann Investors'],001097
002112,WARD,Seed,600000.0,2018-05-18,,2.0,"['Impulse VC', 'Nuard Ventures']",000000
002113,WARD,Convertible Note,,2018-08-02,,1.0,['FunCubator'],000000
002114,Watchmaster,Series C,9000000.0,2018-11-05,,,[''],001100
002115,Wellnow,Series A,,2018-04-26,TEV Ventures,1.0,['TEV Ventures'],001104
002116,WeQ,Venture - Series Unknown,50000000.0,2018-04-24,,,[''],000000
002117,wevest,Seed,,2018-06-01,Comvest Holding,1.0,['Comvest Holding'],000000
002118,wysker,Seed,1500000.0,2018-10-01,,,[''],000000
002119,wysker,Angel,20000.0,2018-08-10,,,[''],000000
002120,Xara,Seed,3000000.0,2018-07-16,Bellevue Investments & Co,1.0,['Bellevue Investments & Co'],000000
002121,Xayn,Seed,6000000.0,2018-06-05,Earlybird Venture Capital,1.0,['Earlybird Venture Capital'],001118
002122,Yilu,Series A,,2018-06-23,Lufthansa,1.0,['Lufthansa'],001128
002123,Yolife,Grant,76000.0,2018-06-01,,1.0,['European Social Fund (ESF)'],001129
002124,YU,Pre-Seed,,2018-09-03,FoodLabs,1.0,['FoodLabs'],001131
002125,YUKKA Lab,Venture - Series Unknown,,2018-01-01,,1.0,['EquityPitcher Ventures'],000000
002126,Zenjob,Series B,15000000.0,2018-11-20,AXA Venture Partners,4.0,"['Acton Capital', 'Atlantic Labs', 'AXA Venture Partners', 'redalpine']",001136
002127,Zinsbaustein,Venture - Series Unknown,,2018-09-09,Sontowski & Partner Group,1.0,['Sontowski & Partner Group'],001139
002128,Zipjet,Series B,,2018-04-11,,3.0,"['Amsterdam Venture Partners', 'BSH', 'Henkel Ventures']",000000
002129,Zizoo,Series A,7400000.0,2018-11-22,Revo Capital,7.0,"['aws Gründungsfonds', 'Axel Springer Digital Ventures', 'CHECK24 Ventures', 'coparion', 'PUSH VC', 'Revo Capital', 'Russmedia Equity Partners']",000000
002130,( OFFTIME ),Seed,,2015-01-01,Axel Springer Plug and Play Accelerator,1.0,['Axel Springer Plug and Play Accelerator'],000000
002131,12K Research,Convertible Note,,2015-10-02,,1.0,['Project Flying Elephant'],000301
002132,1aim,Angel,,2015-03-01,,2.0,"['Brent Hoberman', 'Matthias Ummenhofer']",000000
002133,3S Antriebe GmbH,Grant,50000.0,2015-07-01,EASME,1.0,['EASME'],000000
002134,3YOURMIND,Seed,1500000.0,2015-12-15,AM Ventures,1.0,['AM Ventures'],000000
002135,3YOURMIND,Pre-Seed,,2015-01-01,,,[''],000000
002136,4scotty,Seed,,2015-02-01,Monkfish Equity,1.0,['Monkfish Equity'],000000
002137,8fit,Seed,2500000.0,2015-08-31,,5.0,"['Arthur Kosten', 'Carles Puyol Saforcada', 'Elies Campo', 'Mark Evans', 'VitaminaK']",000000
002138,8fit,Grant,100000.0,2015-02-23,IMPACT Accelerator,1.0,['IMPACT Accelerator'],000000
002139,99chairs,Seed,,2015-02-25,,1.0,['HTGF | High-Tech Gruenderfonds'],000000
002140,Abroadwith,Seed,150000.0,2015-08-01,,,[''],000000
002141,Ada Health,Grant,2408313.0,2015-07-01,,1.0,['EASME'],000000
002142,Adjust,Series D,15000000.0,2015-10-21,Highland Europe,1.0,['Highland Europe'],000000
